term,mean,max,min,std,document_count
persistent,0.027770907496381104,0.24615502306979256,0.0014877160799987462,0.062992156053182,15
informal,0.043729390323824884,0.2674394240600422,0.003544199987543353,0.07991214246851475,9
part,0.016913406214026552,0.12377504061078391,0.0006256125691835889,0.019393689926698297,1104
comun,0.02418477161407748,0.13916444191280872,0.0010367202070629923,0.027967431072148084,518
salud,0.021509801492311194,0.1730832487324692,0.0006425364222087023,0.025607445203674972,346
en,0.009202644936295468,0.04764296848083633,0.0006370090493259454,0.0052173976982131534,4390
precandidatur,0.1384233784040554,0.32683297678735307,0.04421857921240659,0.13322570465746375,3
presidencial,0.024749098873044585,0.1805172661652663,0.0009214338412148165,0.04038464519418731,104
senador,0.04561508476948852,0.21961732367540773,0.002117257283461424,0.07057863144208347,44
pol,0.06134668215730607,0.24675159763295643,0.0011771430146051986,0.07001383200749337,31
per,0.012964801939138744,0.08906439900928163,0.0005886838192681912,0.013718734923376661,1214
esta,0.013998483531910935,0.10876274289623085,0.0007242071258223604,0.01441172578381769,1668
grabacion,0.06419417726074275,0.24675159763295643,0.0034453348073750566,0.075848599877459,31
es,0.015698038494044962,0.10446941691548703,0.0006640005312425023,0.013165964941800928,2155
refier,0.024886165770423983,0.20909166369595267,0.002160425995061506,0.04274081960914615,45
otro,0.014110322916324483,0.1288949917427547,0.001047075481257146,0.021948735347494835,419
tem,0.016712513232029474,0.1514261048188491,0.0007980295379122482,0.02545012015071124,267
hor,0.023845032832022918,0.39365699053362635,0.0006418320497830865,0.036260464702816075,520
present,0.021197379174336155,0.17993286657196825,0.0005313782974637862,0.027756528756488465,532
respuest,0.017728509648293995,0.18774048844151567,0.0013725949601735507,0.03171619932870675,188
salvadoren,0.09794210883037399,0.35104529503799564,0.0027091229105288047,0.11979301859914605,7
dio,0.017966134910708507,0.2477340198545556,0.0008734012283968215,0.03452176011758077,172
durant,0.01832364670356075,0.14350861204135829,0.0005294125345399252,0.022759928616387995,740
entrev,0.02705247655582652,0.1866771869766842,0.0008057397893132666,0.0343422902305227,159
ntn,0.45346161867248586,0.45346161867248586,0.45346161867248586,0.0,1
hac,0.013926489390407233,0.11957202983590721,0.0007828941767145774,0.01648884790611179,1166
seis,0.03753358655671984,0.18863416276105036,0.0008550528657010593,0.044072549787331515,185
anos,0.020801173693634656,0.2506468146724315,0.0007318977068152761,0.024286155931196977,1082
septiembr,0.028108729157813178,0.12816953767705222,0.0008734861722652354,0.036420688071472335,118
rafael,0.054448676301463515,0.24971419704575476,0.004172884559251839,0.06829354578720892,48
corre,0.07113205076169572,0.38488582910030456,0.0011504739456802582,0.08768428323408425,80
entrevist,0.025641929399524876,0.1668284280711002,0.0011612187568754075,0.04428144011543317,37
nicol,0.044949080745259794,0.23606894663393904,0.000992111656685114,0.05741668308038706,70
madur,0.08882415770693437,0.4590419064042083,0.0020856061172385655,0.10384468497423362,56
russi,0.2871923584925744,0.2871923584925744,0.2871923584925744,0.0,1
today,0.17267716891597648,0.6560593655988447,0.00804980816685699,0.23610559098528439,29
esa,0.012797971117312982,0.10270577485271755,0.000672462892513386,0.01797144721462419,382
convers,0.02709130239560781,0.24674352693786636,0.001030483407165103,0.052092573726863274,65
neg,0.03194579005406631,0.32552004612207475,0.0010614784112676352,0.061660183766796405,111
presenci,0.03156823445741357,0.26947715868171573,0.0020829152361871747,0.04778245872273473,106
narcotraf,0.03576736887468164,0.1576799823083683,0.002043216928928812,0.04287947548042398,57
venezuel,0.06418408172810403,0.36926307847060824,0.0009227382696902976,0.08340054032690689,95
habl,0.0210093946310329,0.23322163290116893,0.0007047745139294956,0.030922318545889386,336
bas,0.022602528041687244,0.13741085388780566,0.0007332829789836497,0.029704533705641318,234
militar,0.03718040646163919,0.19723202889823527,0.0019492833044749218,0.0516947431506443,72
ee,0.023475846982344936,0.19477273441791498,0.0022718437140503305,0.04545786885615521,16
uu,0.0260873979879024,0.1992237808387324,0.002323761051773706,0.049359339023858924,14
hay,0.015066607271760053,0.20994859471316496,0.0008280181211299232,0.02043513738875861,834
evident,0.01858611142798014,0.1366606046827025,0.0008071730399250942,0.02780395028437552,158
confirm,0.030653464512152503,0.24377179870084012,0.0012871784659264506,0.03963173113154724,232
afirm,0.017202672077342027,0.11238610061440507,0.0013559343925635878,0.02269389950153163,297
mism,0.015262896162004613,0.1074036014336439,0.0005837152251828473,0.01943204299750758,644
ceped,0.2126134076735956,0.32861256334806094,0.022662935403314547,0.1144765576465182,4
lo,0.014957087930208014,0.0845188349282829,0.0006821536313824286,0.013878453953338072,1788
desminti,0.08983019628769377,0.3713638624578344,0.007587963535797098,0.1253946765397357,10
asegur,0.015231787463431776,0.08525927682807315,0.000553888573361032,0.018797152868227987,507
ramirez,0.08044791167993949,0.19692401845583404,0.006160292548149137,0.06564087508126121,15
ni,0.01807724474568301,0.1748737096753162,0.0009745424463502588,0.02779112981055956,450
siqu,0.017458410665044975,0.2143408406582751,0.0009448900168230227,0.03235699807298087,94
pact,0.06764621409224529,0.30993604541151254,0.002099228174049916,0.0847606152533387,72
histor,0.029094750271914542,0.16557429451357678,0.0008463020505578095,0.03824567877636755,133
coalicion,0.08771914454209859,0.330147273909839,0.0025914228721337445,0.09276307244220827,39
aspir,0.02716137377208925,0.15422622360709856,0.0020275138949224177,0.03686956855489974,54
ser,0.01552008427911447,0.15173951161864446,0.0007858079317381898,0.018602293664298258,1210
candidat,0.0636931518582892,0.2570350655687362,0.0008174672689600879,0.056746203124106775,151
las,0.01516966717299482,0.1257633508825118,0.000870060918055113,0.011566648903030625,2763
nuev,0.018482342338421352,0.3485213841129427,0.00077864473662409,0.025913126170906495,966
afectari,0.11112714895817584,0.4252633172739612,0.004061503591942327,0.18138950673891951,4
quien,0.01742104601253339,0.19752810246372063,0.0008588178367987853,0.03155821991031756,234
gan,0.023874736913079352,0.1689863274686911,0.0006526050810921737,0.030756461303630873,312
promedi,0.022041548091396197,0.2869471256761096,0.0012284314118594466,0.04776968131731814,42
mas,0.015324202033421991,0.11415659482811068,0.0008946441600949112,0.01493346564168388,1762
millon,0.03388094835239107,0.588530861746323,0.0011449199345056078,0.04940224176733601,468
mensual,0.03252422618423621,0.3029432265869121,0.002002346365465593,0.056644152561574825,32
minhaciend,0.5068100443986607,0.5068100443986607,0.5068100443986607,0.0,1
tambi,0.01111875641978873,0.11813472038473379,0.0009506549387183512,0.01472499461467877,938
mandatari,0.01972309308950021,0.2237403764355773,0.0014805708055293163,0.030244277755771987,123
caf,0.06883725322182314,0.35192080719023533,0.0019178245623446067,0.0862891384108134,40
harin,0.10131585546648408,0.2684699452181829,0.0072176269477764,0.11850755980326315,3
aven,0.07162599804398143,0.27804738011850033,0.003029571938337171,0.070399231226718,37
trig,0.1433771549034076,0.28295084193633163,0.0038034678704835746,0.13957368703292403,2
chocolat,0.04488941456796143,0.2292337920514647,0.011908248937738427,0.0659012557917408,9
aceit,0.07759364144901783,0.18623476332553843,0.0025033957624172234,0.06295241863550996,30
azuc,0.08239597806172427,0.21099001977410792,0.0028361596513082196,0.07979004388542603,15
entre,0.01657705900179843,0.16070595274553348,0.00046581435578415495,0.020171034379098108,942
otros,0.011577767882852745,0.1424340639769244,0.0011025375053849977,0.017542958705406706,565
ya,0.015400649233215621,0.27138008462937346,0.0004100429382463462,0.019482991779492885,1083
tien,0.01491170987879063,0.1380129307704052,0.0004344400993780067,0.018092543701982846,983
ese,0.012254404186891398,0.09219887058021162,0.0005445639788926629,0.01651069589085928,502
gravam,0.11557475170478002,0.25819558548776217,0.0016423163093269742,0.11572429276586602,4
ver,0.01710181610045293,0.17313687490134505,0.001078296269355791,0.026082767941932712,388
propuest,0.041632493529815275,0.1314748864873764,0.0016131887912561524,0.04046338660376329,139
proyect,0.025829948302599128,0.1639116337537957,0.001436561207307587,0.03244978540790757,208
reform,0.04586531080687253,0.37726023964751343,0.0009427220890782934,0.07756803466317161,87
gobiern,0.028585153675435404,0.15923027094154205,0.000501228503341545,0.0257620083775623,754
petr,0.05022927612257495,0.18869879445007243,0.006612723710390523,0.05475926327868405,28
salvador,0.046126441507116596,0.2678837108377875,0.0012171000038063947,0.06429542229446919,26
hech,0.017077246737196284,0.12850843216846256,0.0011104905324207039,0.022123191142304002,546
tal,0.017245024902956346,0.1597617877752473,0.0008419593558642807,0.0249607213273661,226
declar,0.023993300221841356,0.24916727490229099,0.0006226351712687871,0.03763049003163547,356
otra,0.01512627893260644,0.1378918800146886,0.0006944944850903479,0.022799684346132873,350
alocucion,0.10263125821384592,0.36147381968286707,0.008505266345479223,0.14964830500213652,4
suy,0.02882251529374431,0.222844383570878,0.002139648426028593,0.048211392297457654,64
fue,0.015907496077285272,0.22097068502510853,0.0006873116174964495,0.020068723003947492,942
manipul,0.06375568861940918,0.22776638721154063,0.0017711227621426174,0.07415645884797008,58
par,0.014758588520192368,0.15134875500513878,0.0007582602956169276,0.012347565843640176,2589
ley,0.03057599990980291,0.14773278518912109,0.000762659807700071,0.03426901869730796,267
